year,period,potus,houseOfRep,fedChair
1982,M12,R,D,D
1983,M01,R,D,D
1983,M02,R,D,D
1983,M03,R,D,D
1983,M04,R,D,D
1983,M05,R,D,D
1983,M06,R,D,D
1983,M07,R,D,D
1983,M08,R,D,D
1983,M09,R,D,D
1983,M10,R,D,D
1983,M11,R,D,D
1983,M12,R,D,D
1984,M01,R,D,D
1984,M02,R,D,D
1984,M03,R,D,D
1984,M04,R,D,D
1984,M05,R,D,D
1984,M06,R,D,D
1984,M07,R,D,D
1984,M08,R,D,D
1984,M09,R,D,D
1984,M10,R,D,D
1984,M11,R,D,D
1984,M12,R,D,D
1985,M01,R,D,D
1985,M02,R,D,D
1985,M03,R,D,D
1985,M04,R,D,D
1985,M05,R,D,D
1985,M06,R,D,D
1985,M07,R,D,D
1985,M08,R,D,D
1985,M09,R,D,D
1985,M10,R,D,D
1985,M11,R,D,D
1985,M12,R,D,D
1986,M01,R,D,D
1986,M02,R,D,D
1986,M03,R,D,D
1986,M04,R,D,D
1986,M05,R,D,D
1986,M06,R,D,D
1986,M07,R,D,D
1986,M08,R,D,D
1986,M09,R,D,D
1986,M10,R,D,D
1986,M11,R,D,D
1986,M12,R,D,D
1987,M01,R,D,D
1987,M02,R,D,D
1987,M03,R,D,D
1987,M04,R,D,D
1987,M05,R,D,D
1987,M06,R,D,D
1987,M07,R,D,D
1987,M08,R,D,D
1987,M09,R,D,R
1987,M10,R,D,R
1987,M11,R,D,R
1987,M12,R,D,R
1988,M01,R,D,R
1988,M02,R,D,R
1988,M03,R,D,R
1988,M04,R,D,R
1988,M05,R,D,R
1988,M06,R,D,R
1988,M07,R,D,R
1988,M08,R,D,R
1988,M09,R,D,R
1988,M10,R,D,R
1988,M11,R,D,R
1988,M12,R,D,R
1989,M01,R,D,R
1989,M02,R,D,R
1989,M03,R,D,R
1989,M04,R,D,R
1989,M05,R,D,R
1989,M06,R,D,R
1989,M07,R,D,R
1989,M08,R,D,R
1989,M09,R,D,R
1989,M10,R,D,R
1989,M11,R,D,R
1989,M12,R,D,R
1990,M01,R,D,R
1990,M02,R,D,R
1990,M03,R,D,R
1990,M04,R,D,R
1990,M05,R,D,R
1990,M06,R,D,R
1990,M07,R,D,R
1990,M08,R,D,R
1990,M09,R,D,R
1990,M10,R,D,R
1990,M11,R,D,R
1990,M12,R,D,R
1991,M01,R,D,R
1991,M02,R,D,R
1991,M03,R,D,R
1991,M04,R,D,R
1991,M05,R,D,R
1991,M06,R,D,R
1991,M07,R,D,R
1991,M08,R,D,R
1991,M09,R,D,R
1991,M10,R,D,R
1991,M11,R,D,R
1991,M12,R,D,R
1992,M01,R,D,R
1992,M02,R,D,R
1992,M03,R,D,R
1992,M04,R,D,R
1992,M05,R,D,R
1992,M06,R,D,R
1992,M07,R,D,R
1992,M08,R,D,R
1992,M09,R,D,R
1992,M10,R,D,R
1992,M11,R,D,R
1992,M12,R,D,R
1993,M01,R,D,R
1993,M02,D,D,R
1993,M03,D,D,R
1993,M04,D,D,R
1993,M05,D,D,R
1993,M06,D,D,R
1993,M07,D,D,R
1993,M08,D,D,R
1993,M09,D,D,R
1993,M10,D,D,R
1993,M11,D,D,R
1993,M12,D,D,R
1994,M01,D,D,R
1994,M02,D,D,R
1994,M03,D,D,R
1994,M04,D,D,R
1994,M05,D,D,R
1994,M06,D,D,R
1994,M07,D,D,R
1994,M08,D,D,R
1994,M09,D,D,R
1994,M10,D,D,R
1994,M11,D,D,R
1994,M12,D,D,R
1995,M01,D,D,R
1995,M02,D,R,R
1995,M03,D,R,R
1995,M04,D,R,R
1995,M05,D,R,R
1995,M06,D,R,R
1995,M07,D,R,R
1995,M08,D,R,R
1995,M09,D,R,R
1995,M10,D,R,R
1995,M11,D,R,R
1995,M12,D,R,R
1996,M01,D,R,R
1996,M02,D,R,R
1996,M03,D,R,R
1996,M04,D,R,R
1996,M05,D,R,R
1996,M06,D,R,R
1996,M07,D,R,R
1996,M08,D,R,R
1996,M09,D,R,R
1996,M10,D,R,R
1996,M11,D,R,R
1996,M12,D,R,R
1997,M01,D,R,R
1997,M02,D,R,R
1997,M03,D,R,R
1997,M04,D,R,R
1997,M05,D,R,R
1997,M06,D,R,R
1997,M07,D,R,R
1997,M08,D,R,R
1997,M09,D,R,R
1997,M10,D,R,R
1997,M11,D,R,R
1997,M12,D,R,R
1998,M01,D,R,R
1998,M02,D,R,R
1998,M03,D,R,R
1998,M04,D,R,R
1998,M05,D,R,R
1998,M06,D,R,R
1998,M07,D,R,R
1998,M08,D,R,R
1998,M09,D,R,R
1998,M10,D,R,R
1998,M11,D,R,R
1998,M12,D,R,R
